62.8932,70,1.798603692,1.84509804,,1.9411736,87.33203894,182.6785714,2.553133884,62.8932,0.014285714,0.007272446,137.5053089,,,0.878128599
104.04,60,2.017200344,1.77815125,,1.724142214,52.98369159,127.875,1.366551326,104.04,0.016666667,0.015799236,63.2941982,,0.009611688,
124.92,50,2.096631976,1.698970004,,1.645279354,44.18545727,222.3913043,1.137848223,124.92,0.02,0.020126168,49.68655827,,0.008005123,
150.64,40,2.177940307,1.602059991,,1.564553232,36.69046639,249.5121951,0.958204992,150.64,0.025,0.025456085,39.28333865,,0.006638343,
185.64,30,2.26867156,1.477121255,,1.474471663,29.81752984,284.1666667,0.802133161,185.64,0.033333333,0.032709083,30.57254813,,0.00538677,
268.88,20,2.429558499,1.301029996,,1.314736757,20.64128627,330,0.560934246,268.88,0.05,0.049958783,20.01650023,,0.003719131,
510.76,10,2.708216878,1,,1.038073717,10.91625613,393.4615385,0.300579529,510.76,0.1,0.100083215,9.991685459,,0.001957867,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,2,-9.928394799·10-1 x + 3.726898354,,,,,,,,,,,,,
,1.741219394,,,,,,,,,,,,,,
,55.10860203,,,,,,,,,,,,,,
