10,465,10
13,368,13
16,304,16
20,256,20
23,225,23
26,194,26
30,170,30
33,154,33
36,135,36
40,117,40
43,100,43
46,91,46
50,71,50
53,71,53
56,60,56
60,45,60
63,48,63
66,44,66
70,39,70
