0,626.64,,626.64,0,0.125,0.124041262,0.061833464,,,0.00020667
10,308.48,,308.48,10,0.055555556,0.058287038,9.156473071,,,-0.005466618
20,199.36,,199.36,20,0.035714286,0.035735174,19.98363281,,,0.998618197
30,149.12,,149.12,30,0.026315789,0.025352058,31.44452902,,,
40,123.24,,123.24,40,0.020833333,0.020003431,41.99142442,,,
50,110.24,,110.24,50,0.017241379,0.017316717,49.74766709,,,
60,100.88,,100.88,60,0.014705882,0.015382283,57.00985667,,,
70,93.84,,93.84,70,0.012820513,0.013927324,63.80130301,,,
80,93.72,,93.72,80,0.011363636,0.013902523,63.92938794,,,
,,,,,,,,,,
,8,,,,,,,,,
,,,,,,,,,,
,,,626.64,0,,,,,,
,,,308.48,10,,,,,,
,,,199.36,20,,,,,,
,,,149.12,30,,,,,,
,,,123.24,40,,,,,,
