0,452.04,,454.8,0,0.1,0.100554856,-0.055179419,,,0.0002676
0,460.64,,323.2,10,0.066666667,0.06533874,10.3048558,,,-0.02114947
0,454.8,,231.6,20,0.04,0.040826611,19.49382807,,,0.999298873
10,323.2,,184.8,30,0.028571429,0.028302947,30.3320095,,,
20,231.6,,162.88,40,0.022222222,0.022437163,39.56891525,,,
30,184.8,,144.4,50,0.018181818,0.017491921,52.1692501,,,
40,162.88,,86.2,60,0.015384615,0.001917621,516.4795925,,,
50,144.4,,26.56,70,0.013333333,-0.014042023,-76.21480881,,,
60,86.2,,4.12,80,0.011764706,-0.02004696,-54.8828759,,,
70,26.56,,,,,,,,,
80,4.12,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,5,,,,,,,,
