0,611.92,0.142857143,0.142458602,0.019583151,,,,0.000253985
10,288.88,0.058823529,0.060411443,9.553155307,,,,-0.012959604
20,194.68,0.037037037,0.036486102,20.40769656,,,,0.999457185
30,152.04,0.027027027,0.025656202,31.97693084,,,,
40,137.68,0.021276596,0.022008984,38.43599095,,,,
50,135.64,0.01754386,0.021490856,39.53141863,,,,
60,140.76,0.014925373,0.022791256,36.87647544,,,,
,,,,,7,,,
,,,,,,,,
,611.92,0,2.786694648,1,0.958351624,-0.914441601,,
,288.88,10,2.460717475,1.301029996,1.344864479,12.12404223,,
,194.68,20,2.289321338,1.477121255,1.548089784,25.32561931,,
,152.04,30,2.181957861,1.602059991,1.675391226,37.35776799,,
,137.68,40,2.138870857,1.698970004,1.726479713,43.26963404,,
,135.64,50,2.132387781,1.77815125,1.734166731,44.22090111,,
,140.76,60,2.148479258,1.84509804,1.715086982,41.8903956,,
