0,272.36,,10,534.04,0.1,0.082024555,12.19147125,,,0.000198208
0,272.96,,20,444.48,0.05,0.064273017,15.5586286,,,-0.02382662
10,534.04,,30,342.64,0.033333333,0.044087481,22.68217589,,,0.941762131
20,444.48,,40,273.92,0.025,0.030466605,32.82282366,,,
30,342.64,,50,228.48,0.02,0.021460019,46.59828215,,,
40,273.92,,60,199.48,0.016666667,0.015711977,63.6457139,,,
50,228.48,,70,177.48,0.014285714,0.011351394,88.09490758,,,
60,199.48,,80,160.88,0.0125,0.008061136,124.0519988,,,
70,177.48,,90,147.76,0.011111111,0.005460642,183.128634,,,
80,160.88,,,,,,,,,
90,147.76,,,,,,,,,
,,,534.04,10,2.727573787,1,1.114103061,13.00478153,,
,,,444.48,20,2.647852224,1.301029996,1.238014252,17.29873127,,
,,,342.64,30,2.534838061,1.477121255,1.413672116,25.92221547,,
,,,273.92,40,2.437623743,1.602059991,1.564772289,36.70897763,,
,,,228.48,50,2.35884819,1.698970004,1.687213097,48.66459318,,
,,,199.48,60,2.29989936,1.77815125,1.778837239,60.09484772,,
,,,177.48,70,2.24914942,1.84509804,1.857717848,72.06391431,,
,,,160.88,80,2.206502058,1.903089987,1.924004625,83.94689266,,
,,,147.76,90,2.169556882,1.954242509,1.981428495,95.8138949,,
