10,400.84,10,400.84,0.0625,0.062680413,9.953947322,,,,0.002339866
20,234.4,20,234.4,0.038461538,0.037625327,20.57784216,,,,0.000150535
30,170.48,30,170.48,0.027777778,0.028003114,29.71031388,,,,0.999172677
40,131.32,40,131.32,0.02173913,0.022108154,39.23217955,,,,
50,107.56,50,107.56,0.017857143,0.018531437,47.9623564,,,,
60,85.24,60,85.24,0.015151515,0.01517149,59.91310301,,,,
70,71.48,70,71.48,0.013157895,0.013100125,70.33514756,,,,
80,57.88,80,57.88,0.011627907,0.011052846,84.47443494,,,,
70,69.88,,,,,,,,,
,,,6,,,,,,,
