10,421,,,,,,,,,
20,242.08,,10,421,0.098039216,,0.096914678,10.11835447,1.183544661,-0.007050515
30,159.44,,20,242.08,0.04950495,,0.052730706,18.76428258,6.178587084,0.000246948
40,123.32,,30,159.44,0.033112583,,0.032322906,30.73781231,2.459374368,0.996777832
50,104.84,,40,123.32,0.024875622,,0.023403137,42.52931455,6.323286386,
60,96.16,,50,104.84,0.019920319,,0.018839534,52.87986873,5.759737468,
60,94.88,,60,96.16,0.016611296,,0.016696024,59.69450031,0.509166151,
70,90.92,,70,90.92,0.014245014,,0.015402015,64.72656894,7.533472939,
70,93.96,,,,,,,,,
,,,,,,,,,,
,,,,0.2,0.00E+00,,,,,
